lat,lng,Place,Country,Language,Year,Translator,Title,Publisher,Address,Comments
-15.7788928822,-47.8879197868,,Brazil,Portuguese,1941,Mécia and João Gaspar Simões,A Paixão de Jane Eyre,Inquérito,,
-22.5225620423,-43.7149005922,Rio de Janeiro,Brazil,Portuguese,1942,Sodré Viana,Jane Eyre,Irmãos Pongetti,,
-22.9065475743,-43.1728506956,Rio de Janeiro,Brazil,Portuguese,1953,Unknown,Jane Eyre,Ebal,,Graphic Novel; Juvenile Edition
-22.8993847772,-43.1773233896,Rio de Janeiro,Brazil,Portuguese,1971,Miécio Táti,Jane Eyre,Ediouro,,Juvenile Edition
-22.8900209405,-43.2221393609,Rio de Janeiro,Brazil,Portuguese,1983,Marcos Santarrita,Jane Eyre,Francisco Alves,,
-23.559572571,-46.6666489111,Sâo Paulo,Brazil,Portuguese,1996,Lenita Esteves and Almiro Piseta,Jane Eyre,Paz & Terra,,
-23.5486654466,-46.6802713175,Sâo Paulo,Brazil,Portuguese,2014,Carlos Duarte and Anna Duarte,Jane Eyre,Martin Claret,,
-23.5594576069,-46.6627179824,Sâo Paulo,Brazil,Portuguese,2010,Doris Goettems,Jane Eyre,Landmark,,Bilingual Edition
-22.8904354155,-43.2241166881,Rio de Janeiro,Brazil,Portuguese,2011,Heloísa Seixas,Jane Eyre,Ediouro,,
-22.9747752807,-43.2299150845,Rio de Janeiro,Brazil,Portuguese,2018,Adriana Lisboa,Jane Eyre,Zahar,,
