lat,lng,Place,Country,Language,Year,Translator,Title,Publisher,Address,Comments,img
-15.77889288,-47.88791979,,Brazil,Portuguese,1941,Mécia (pseud.)/ João Gaspar Simões,A Paixão de Jane Eyre,Inquérito,,,https://raw.githubusercontent.com/digitalkoine/brazilian_portuguese_storymap/main/brazilian_portuguese/1964%20Me%CC%81cia%20and%20Joa%CC%83o%20Gaspar%20Simo%CC%83es.jpg
-22.52256204,-43.71490059,Rio de Janeiro,Brazil,Portuguese,1942,Sodré Viana,Jane Eyre,Irmãos Pongetti,,,https://raw.githubusercontent.com/digitalkoine/brazilian_portuguese_storymap/main/brazilian_portuguese/1942%20Sodre%20Viana.jpg
-22.90654757,-43.1728507,Rio de Janeiro,Brazil,Portuguese,1953,Unknown,Jane Eyre,Ebal,,Graphic Novel; Juvenile Edition,https://raw.githubusercontent.com/digitalkoine/brazilian_portuguese_storymap/main/brazilian_portuguese/1953%20Ebal.jpg
-22.89938478,-43.17732339,Rio de Janeiro,Brazil,Portuguese,1971,Miécio Táti,Jane Eyre,Ediouro,,Juvenile Edition,https://raw.githubusercontent.com/digitalkoine/brazilian_portuguese_storymap/main/brazilian_portuguese/1971%20Tati.jpg
-22.89002094,-43.22213936,Rio de Janeiro,Brazil,Portuguese,1983,Marcos Santarrita,Jane Eyre,Francisco Alves,,,https://raw.githubusercontent.com/digitalkoine/brazilian_portuguese_storymap/main/brazilian_portuguese/1983%20Santarrita.jpg
-23.55957257,-46.66664891,Sâo Paulo,Brazil,Portuguese,1996,Lenita Esteves and Almiro Piseta,Jane Eyre,Paz & Terra,,,https://raw.githubusercontent.com/digitalkoine/brazilian_portuguese_storymap/main/brazilian_portuguese/1996%20Lenita%20Esteves.jpg
-23.54866545,-46.68027132,Sâo Paulo,Brazil,Portuguese,2014,Carlos Duarte and Anna Duarte,Jane Eyre,Martin Claret,,,https://raw.githubusercontent.com/digitalkoine/brazilian_portuguese_storymap/main/brazilian_portuguese/2014%20Duarte.jpg
-23.55945761,-46.66271798,Sâo Paulo,Brazil,Portuguese,2010,Doris Goettems,Jane Eyre,Landmark,,Bilingual Edition,https://raw.githubusercontent.com/digitalkoine/brazilian_portuguese_storymap/main/brazilian_portuguese/2016%20Goettems.jpg
-22.89043542,-43.22411669,Rio de Janeiro,Brazil,Portuguese,2011,Heloísa Seixas,Jane Eyre,Ediouro,,,https://raw.githubusercontent.com/digitalkoine/brazilian_portuguese_storymap/main/brazilian_portuguese/2016%20Heloisa%20Seixas.jpg
-22.97477528,-43.22991508,Rio de Janeiro,Brazil,Portuguese,2018,Adriana Lisboa,Jane Eyre,Zahar,,,https://raw.githubusercontent.com/digitalkoine/brazilian_portuguese_storymap/main/brazilian_portuguese/2018%20Adriana%20Lisboa.jpg
